"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\materialInventory\index.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 10, 62
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\materialInventory\index.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\materialPurchase\index.js", "JavaScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 13, 130
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\materialPurchase\index.scss", "SCSS", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 2, 49
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\over\index.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 7, 58
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\over\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\productInventory\index.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 61
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\productInventory\index.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\productResearch\index.js", "JavaScript", 0, 0, 0, 315, 0, 0, 0, 0, 0, 6, 16, 337
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\productResearch\index.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\taxes\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\taxes\index.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\time\index.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\time\index.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\workshopManagement\index.js", "JavaScript", 0, 0, 0, 1351, 0, 0, 0, 0, 0, 102, 53, 1506
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\workshopManagement\index.scss", "SCSS", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 4, 158
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\routes.js", "JavaScript", 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 4, 245
